Venue,Date,Start Time,End Time,Start DateTime,End DateTime,Title,Image URL,Event URL,Headliner,Supporting Band 1,Supporting Band 2,Supporting Band 3,More Info
Thee Stork Club,"Wed, May 28",8:00 PM,,2025-05-28 20:00:00-07:00,,"Tropa Magica, Mala Greña",https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiNTI4OGZlZjctZmU1Yy00ODgxLWIwMmQtZTZmMDc2ZWRiNTliIiwiZWRpdHMiOnt9fQ==,https://wl.seetickets.us/event/tropa-magica-mala-grena/642311?afflky=TheeStorkClub,Tropa Magica,Mala Greña,,,"
Tropa Magica: https://tropamagica.bandcamp.com
Genre: World
Tags: World, Punk, cumbia, psychedelic
Location: East Los Angeles, California
Mala Greña: No Bandcamp found"
Eli's Mile High Club,"Thu, May 29",7:00 PM,11:50 PM,2025-05-29 19:00:00-07:00,2025-05-29 23:50:00-07:00,TRIVIA NIGHT & DJ OLIVER TWISTED,https://static.wixstatic.com/media/dceb95_1e2efde3ecf44e97ba8fdf3111c12a54~mv2.png,https://www.elismilehighclub.com/event-details/trivia-night-dj-oliver-twisted,TRIVIA NIGHT & DJ OLIVER TWISTED,,,,"
TRIVIA NIGHT & DJ OLIVER TWISTED: https://trivianight.bandcamp.com
Genre: Experimental
Tags: nice guy noise, power electronics, Experimental, Noise, good guy noise
Location: Columbia, Missouri"
924 Gilman,"Thu, May 29",7:30 PM,10:30 PM,2025-05-29 19:30:00-07:00,2025-05-29 22:30:00-07:00,"NOBRO, BAD WAITRESS, GEN AND THE DEGENERATES, THE VAXXINES",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/27518/thumb_IMG_1821.jpeg,https://app.showslinger.com/v/nobro?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,NOBRO,BAD WAITRESS,GEN AND THE DEGENERATES,THE VAXXINES,"
NOBRO: https://nobro.bandcamp.com
Genre: Rock
Tags: Rock
Location: Montreal, Québec
BAD WAITRESS: https://badwaitress.bandcamp.com
Genre: Rock
Tags: rock and roll., alternative rock, Rock, Punk, indie rock
Location: Toronto, Ontario
GEN AND THE DEGENERATES: https://gensdegenerates.bandcamp.com
Genre: Punk
Tags: alternative pop, post-punk, Punk, indie, Alternative
Location: Liverpool, UK
THE VAXXINES: https://thevaxxines.bandcamp.com
Genre: Punk
Tags: rock n roll, pop punk, west-coast-punk, Punk, punk rock
Location: Oakland, California"
Thee Stork Club,"Thu, May 29",8:00 PM,,2025-05-29 20:00:00-07:00,,"The Sleeveens, So What, Leather Pet",https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiMmFlYTNjMmQtNDQxZi00NTE5LWI4MWUtMjcyOTMyOGM3ZTJhIiwiZWRpdHMiOnt9fQ==,https://wl.seetickets.us/event/the-sleeveens-so-what-leather-pet/644809?afflky=TheeStorkClub,The Sleeveens,So What,Leather Pet,,"
The Sleeveens: https://thesleeveens.bandcamp.com
Genre: Rock
Tags: rock n roll, punk, pub rock, Rock
Location: Nashville, Tennessee
So What: https://sowhatbandofficial.bandcamp.com
Genre: Rock
Tags: Hard Gum, protopunk, Glam, power pop, Rock, Bubblegum
Location: Oakland, California
Leather Pet: https://leatherpet.bandcamp.com
Genre: Punk
Tags: rock'n'roll, glam, Punk, leather
Location: San Francisco, California"
Eli's Mile High Club,"Fri, May 30",4:00 PM,10:00 PM,2025-05-30 16:00:00-07:00,2025-05-30 22:00:00-07:00,CHERRYBOMB MARKET,https://static.wixstatic.com/media/dceb95_6e569e19707244eba13df58bb362af7e~mv2.png,https://www.elismilehighclub.com/event-details/cherrybomb-market,CHERRYBOMB MARKET,,,,"
CHERRYBOMB MARKET: No Bandcamp found"
924 Gilman,"Fri, May 30",7:00 PM,10:00 PM,2025-05-30 19:00:00-07:00,2025-05-30 22:00:00-07:00,"One Step Closer, Bleed, World of Pleasure, Footballhead, Founders Day",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/27812/thumb_MAY_20.jpg,https://app.showslinger.com/v/onestepcloser?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,One Step Closer,Bleed,World of Pleasure,Footballhead,"
One Step Closer: https://onestepcloserxxx.bandcamp.com
Genre: Punk
Tags: hardcore, Punk, straight edge, Wilkes Barre, BT, xxx
Location: Wilkes Barre, Pennsylvania
Bleed: https://bleed-music.bandcamp.com
Genre: nan
Tags: nan
Location: London, UK
World of Pleasure: https://worldofpleasure.bandcamp.com
Genre: Metal
Tags: hardcore, Metal, vegan, straight edge
Location: Calgary, Alberta
Footballhead: https://footballheadchi.bandcamp.com
Genre: Alternative
Tags: alternative rock, Pop, Alternative, pop rock
Location: Chicago, Illinois"
Thee Stork Club,"Fri, May 30",9:00 PM,,2025-05-30 21:00:00-07:00,,Melodies of Love 5/30,https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiYjllOTBkM2EtMjBjYS00MzQ0LTg4MmQtMGU1MThiYzEwZGQ3IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2MDB9LCJqcGVnIjp7InF1YWxpdHkiOjYwfSwicG5nIjp7ImNvbXByZXNzaW9uTGV2ZWwiOjksInF1YWxpdHkiOjYwfSwid2VicCI6eyJxdWFsaXR5Ijo2MH19fQ==,https://wl.seetickets.us/event/melodies-of-love-530/648741?afflky=TheeStorkClub,Melodies of Love 5/30,,,,"
Melodies of Love 5/30: No Bandcamp found"
924 Gilman,"Sat, May 31",7:00 PM,10:00 PM,2025-05-31 19:00:00-07:00,2025-05-31 22:00:00-07:00,"Portal to the God Damn Blood Dimension, Name, Delve, Lower Companion",https://showslinger.s3.amazonaws.com/uploads/ticket/event_image/28703/thumb_MAY_31.jpg,https://app.showslinger.com/v/portal?from=%2Fe1%2F460%2F924-gilman&promo_widget_v3_id=460,Portal to the God Damn Blood Dimension,Name,Delve,Lower Companion,"
Portal to the God Damn Blood Dimension: https://portaltothegoddamnblooddimension.bandcamp.com
Genre: Experimental
Tags: poetry, chamber music, screamo, Experimental, noise, post-rock
Location: Salt Lake City, Utah
Name: https://name.bandcamp.com
Genre: Metal
Tags: jazz, post progressive metal, Metal, progressive, mathcore, metallic hardcore
Location: San Francisco, California
Delve: https://mindelve.bandcamp.com
Genre: Experimental
Tags: Experimental
Location: Linz, Austria
Lower Companion: https://lowercompanion.bandcamp.com
Genre: Metal
Tags: hardcore, Blackgaze, Metal, post-hardcore, screamo
Location: California"
Thee Stork Club,"Sat, May 31",8:00 PM,,2025-05-31 20:00:00-07:00,,"Istanbul Connection, Balzac, DJ Utrillo",https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiZTUzN2ExMzktNmIwMy00NDM2LTk5MzctMDcyY2ZmMTU0ZDM0IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2MDB9LCJqcGVnIjp7InF1YWxpdHkiOjYwfSwicG5nIjp7ImNvbXByZXNzaW9uTGV2ZWwiOjksInF1YWxpdHkiOjYwfSwid2VicCI6eyJxdWFsaXR5Ijo2MH19fQ==,https://wl.seetickets.us/event/istanbul-connection-balzac-dj-utrillo/651362?afflky=TheeStorkClub,Istanbul Connection,Balzac,DJ Utrillo,,"
Istanbul Connection: No Bandcamp found
Balzac: https://balkanvinyl.bandcamp.com
Genre: nan
Tags: nan
Location: UK
DJ Utrillo: https://djyoungtrilla.bandcamp.com
Genre: Hip-Hop/Rap
Tags: rap, Slowed, Hip Hop, Chopped & Screwed, Hip-Hop/Rap
Location: Florida"
Eli's Mile High Club,"Sat, May 31",8:00 PM,11:59 PM,2025-05-31 20:00:00-07:00,2025-05-31 23:59:00-07:00,POPPY PATICA / LAMPLAND / SALLY DECKER,https://static.wixstatic.com/media/dceb95_9f781ac309344a229166b5a2d9bc591f~mv2.png,https://www.elismilehighclub.com/event-details/poppy-patica-lampland-sally-decker,POPPY PATICA,LAMPLAND,SALLY DECKER,,"
POPPY PATICA: https://poppypatica.bandcamp.com
Genre: Rock
Tags: Rock, oof, DC, Oakland, poppy, pop
Location: Oakland, California
LAMPLAND: https://lampland.bandcamp.com
Genre: Alternative
Tags: Alternative, alt country, roots rock, indie rock
Location: New York, New York
SALLY DECKER: https://sallydecker.bandcamp.com
Genre: Experimental
Tags: Experimental
Location: Oakland, California"
Thee Stork Club,"Sun, June 01",8:00 PM,,2025-06-01 20:00:00-07:00,,Freakyoke 6/1,https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiOGRiNTAzZDUtNmU4ZS00ZGEwLTkxM2MtN2RjNjlmNTdhNTBhIiwiZWRpdHMiOnt9fQ==,https://wl.seetickets.us/event/freakyoke-61/629849?afflky=TheeStorkClub,Freakyoke 6/1,,,,"
Freakyoke 6/1: No Bandcamp found"
Eli's Mile High Club,"Mon, June 02",7:00 PM,11:00 PM,2025-06-02 19:00:29.959000-07:00,2025-06-02 23:00:34.600000-07:00,MARGIE TURNER AND THE OUTBACK BLUES BAND,https://static.wixstatic.com/media/dceb95_0187413e6c8a48b7aeaf0299aa557dea~mv2.jpg,https://www.elismilehighclub.com/event-details/blue-mondays-margie-turner-and-the-outback-blues-band-5,MARGIE TURNER AND THE OUTBACK BLUES BAND,,,,"
MARGIE TURNER AND THE OUTBACK BLUES BAND: No Bandcamp found"
Thee Stork Club,"Thu, June 05",8:00 PM,,2025-06-05 20:00:00-07:00,,"The Freak Accident, Conan Neutron & Secret Friends, HLLLYH",https://prod-images.seetickets.us/eyJidWNrZXQiOiJwcm9kLXNpaC5zZWV0aWNrZXRzdXNhLnVzIiwia2V5IjoiZmRkYmM0OTgtMTc3MS00MGMxLWI4NzYtMzg0ZmM4M2QwMWU2IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2MDB9LCJqcGVnIjp7InF1YWxpdHkiOjYwfSwicG5nIjp7ImNvbXByZXNzaW9uTGV2ZWwiOjksInF1YWxpdHkiOjYwfSwid2VicCI6eyJxdWFsaXR5Ijo2MH19fQ==,https://wl.seetickets.us/event/the-freak-accident-conan-neutron-and-secret-friends-hlllyh/649403?afflky=TheeStorkClub,The Freak Accident,Conan Neutron & Secret Friends,HLLLYH,,"
The Freak Accident: https://thefreakaccident.bandcamp.com
Genre: Punk
Tags: Punk, Indie, Surf, Psychedlic
Location: San Francisco, California
Conan Neutron & Secret Friends: https://neutronfriends.bandcamp.com
Genre: Rock
Tags: caterwaul society, alternative rock, Rock, post-punk, melvins, prf
Location: Milwaukee, Wisconsin
HLLLYH: https://hlllyhband.bandcamp.com
Genre: Rock
Tags: spazz, emo, indie rock, Rock, noise rock, noise pop
Location: California"
